enviro,observer,task,ori,n_runs,threshold,t_sem,slope,s_sem
web,p26,spatial,plus45,6,10.4674,0.3253,3.7668,0.2934
web,p27,temporal,horizontal,5,1.5821,0.2207,1.5638,0.2571
web,p27,temporal,vertical,4,2.1395,0.178,0.7286,0.1597
web,p27,temporal,minus45,5,13.6776,0.9846,6.3425,1.0243
web,p27,temporal,plus45,5,14.9904,0.8728,6.2176,0.9062
web,p27,spatial,horizontal,5,3.3971,0.1186,1.4614,0.1339
web,p27,spatial,vertical,5,3.3257,0.1243,1.0413,0.1232
web,p27,spatial,minus45,5,23.9514,0.4722,6.5189,0.4829
web,p27,spatial,plus45,5,20.7162,0.5921,4.7301,0.6208
web,p28,temporal,horizontal,5,1.2882,0.0239,0.4407,0.0213
web,p28,temporal,vertical,5,1.5315,0.069,0.6843,0.0639
web,p28,temporal,minus45,5,8.7534,0.4262,4.4709,0.4034
web,p28,temporal,plus45,5,11.6368,0.4941,5.6254,0.4877
web,p28,spatial,horizontal,7,1.9781,0.0355,0.6358,0.0319
web,p28,spatial,vertical,5,2.5889,0.0875,1.0102,0.0922
web,p28,spatial,minus45,5,18.1568,0.4105,4.3072,0.3991
web,p28,spatial,plus45,5,20.1809,0.6166,5.813,0.661
web,p29,temporal,horizontal,6,0.975,0.052,0.5423,0.0482
web,p29,temporal,vertical,6,1.4044,0.0403,0.3202,0.0393
web,p29,temporal,minus45,5,5.5846,0.3086,2.1136,0.2713
web,p29,temporal,plus45,5,6.95,0.1455,2.3533,0.1301
web,p29,spatial,horizontal,5,1.8868,0.0255,0.3934,0.0222
web,p29,spatial,vertical,6,2.2577,0.0838,0.655,0.0744
web,p29,spatial,minus45,5,9.8499,0.327,3.039,0.2905
web,p29,spatial,plus45,7,12.8955,0.3975,4.7248,0.3709
web,p30,temporal,horizontal,5,1.8668,0.165,1.5578,0.2233
web,p30,temporal,vertical,5,1.8678,0.1722,1.397,0.2156
web,p30,temporal,minus45,5,17.9886,1.2901,6.8121,1.4208
web,p30,temporal,plus45,5,15.8281,0.701,7.1185,0.7792
web,p30,spatial,horizontal,5,1.513,0.0397,0.6316,0.0363
web,p30,spatial,vertical,5,1.8454,0.0687,0.7537,0.0641
web,p30,spatial,minus45,5,23.7504,1.0402,10.0,1.1352
web,p30,spatial,plus45,5,20.4153,0.3329,5.1331,0.3511
web,p31,temporal,horizontal,5,1.0097,0.0243,0.2175,0.0152
web,p31,temporal,vertical,5,1.0076,0.0159,0.345,0.0132
web,p31,temporal,minus45,5,9.0653,0.2222,1.9848,0.1912
web,p31,temporal,plus45,5,8.7759,0.2524,3.4151,0.228
web,p31,spatial,horizontal,5,1.3256,0.0196,0.4028,0.0175
